BN/Registration number:	Organization name:	Status: 	Type of qualified donee:	Effective date of status:	Sanction 	Designation: 	Charity type: 	Category: 	Address:	City:	Province, territory, outside of Canada:	Country:	Postal code/Zip code:	
786869321RR0001	Strategic Ministry Partnerships-Canada	Registered	Charity	2016-01-01		0001	Relief of Poverty	0001	17 DUNLOP PL 	KITCHENER	ON	CA	N2P1J3
769254095RR0001	Kingdom Worthy Ministries - KW Church of God 7th Day	Registered	Charity	2018-02-01		0001	Advancement of Religion	0070	4-648 DOON VILLAGE RD 	KITCHENER	ON	CA	N2P1A2
759192925RR0001	THE UNITED BRETHREN CHURCH IN CANADA	Registered	Charity	1967-01-01		0001	Advancement of Religion	0030	26-10 HOLBORN COURT 	KITCHENER	ON	CA	N2A3Y9
782507297RR0001	THE GATHERING CHURCH	Registered	Charity	2005-10-31		0001	Advancement of Religion	0030	PO BOX 48057 RPO WILLIAMSBURG 	KITCHENER	ON	CA	N2E4K6
889180394RR0001	Waterloo Regional Health Network Foundation	Registered	Charity	1989-01-01		0002	Other purposes beneficial to the community	0210	835 KING STREET WEST 	KITCHENER	ON	CA	N2G1G3
889173944RR0001	K-W SINGERS	Registered	Charity	1996-10-01		0001	Other purposes beneficial to the community	0190	8-190 ALPINE ROAD 	KITCHENER	ON	CA	N2E2N8
888725306RR0001	FIRST MENNONITE CHURCH KITCHENER	Registered	Charity	1967-01-01		0001	Advancement of Religion	0030	800 KING ST E 	KITCHENER	ON	CA	N2G2M6
888358447RR0001	ST MATTHEWS (KITCHENER) LUTHERAN CHURCH FOUNDATION INC	Registered	Charity	1987-01-01		0002	Advancement of Religion	0090	54 BENTON STREET 	KITCHENER	ON	CA	N2G3H2
888187671RR0001	Friends of Waterloo Region Museum	Registered	Charity	1967-01-01		0002	Other purposes beneficial to the community	0160	10 HURON ROAD 	KITCHENER	ON	CA	N2P2R7
888175668RR0001	Children of Hope and Promise Canada	Registered	Charity	1992-06-16		0001	Advancement of Religion	0070	23 - 500 FAIRWAY RD S 	KITCHENER	ON	CA	N2C1X3
886491190RR0001	CALVARY UNITED CHURCH	Registered	Charity	1968-01-01		0001	Advancement of Religion	0030	91 GRUHN ST. 	KITCHENER	ON	CA	N2G1S5
886388198RR0001	International Fellowship Church of God	Registered	Charity	1978-01-01		0001	Advancement of Religion	0030	91 MADISON AVE S 	KITCHENER	ON	CA	N2G3M4
880648142RR0001	NUTRITION FOR LEARNING INC.	Registered	Charity	1997-11-01		0001	Relief of Poverty	0001	28 - 500 TRILLIUM DR 	KITCHENER	ON	CA	N2R1A7
878679729RR0001	Schlegel Villages Charitable Foundation	Registered	Charity	2000-01-01		0001	Other purposes beneficial to the community	0100	201-325 MAX BECKER DR 	KITCHENER	ON	CA	N2E4H5
878346964RR0002	WORLD WIDE OPPORTUNITIES FOR WOMEN INC.	Registered	Charity	2006-10-05		0001	Advancement of Education	0013	23-500 FAIRWAY RD. SUITE #149 	KITCHENER	ON	CA	N2C1X3
877288167RR0001	SUNNYSIDE HOME FOUNDATION	Registered	Charity	1998-01-01		0001	Other purposes beneficial to the community	0210	247 FRANKLIN ST N 	KITCHENER	ON	CA	N2A1Y5
876694407RR0001	THE LYLE SHANTZ HALLMAN CHARITABLE FOUNDATION	Registered	Charity	2003-09-10		0002	Other purposes beneficial to the community	0210	20 CRESTVIEW PLACE 	KITCHENER	ON	CA	N2B0A2
876249764RR0001	First Church of Christ, Scientist, Kitchener, Ontario	Registered	Charity	1967-01-01		0001	Advancement of Religion	0030	58 WATER ST NORTH 	KITCHENER	ON	CA	N2H5A8
885794636RR0001	GRACE LAO MENNONITE CHURCH	Registered	Charity	1997-04-13		0001	Advancement of Religion	0030	575 LANCASTER STREET WEST 	KITCHENER	ON	CA	N2K1M5
885701300RR0001	SPORTS FOR SPECIAL ATHLETES INC.	Registered	Charity	2005-09-01		0001	Other purposes beneficial to the community	0140	P.O. BOX 3040 	KITCHENER	ON	CA	N2G4R5
885346817RR0001	FAMILY & CHILDREN'S SERVICES OF THE REGIONAL MUNICIPALITY OF WATERLOO FOUNDATION	Registered	Charity	1992-01-01		0002	Other purposes beneficial to the community	0210	200 ARDELT AVE. 	KITCHENER	ON	CA	N2C2L9
882914427RR0001	MISION CRISTIANA VOZ DE RESTAURACION	Registered	Charity	2000-01-01		0001	Advancement of Religion	0030	87 DINISON CRES 	KITCHENER	ON	CA	N2E2S6
882505514RR0001	CANADIAN STUDENT LEADERSHIP ASSOCIATION	Registered	Charity	2002-09-01		0001	Advancement of Education	0012	125 WALTER ST 	KITCHENER	ON	CA	N2G0B7
822457461RR0001	WHS Foundation	Registered	Charity	2010-03-30		0003	Other purposes beneficial to the community	0210	5 HILL ST PO BOX 65	KITCHENER	ON	CA	N2G3X4
821042447RR0001	Shalom Worship and Healing Center	Registered	Charity	2017-01-01		0001	Advancement of Religion	0030	6 SPACHMAN ST 	KITCHENER	ON	CA	N2R0N5
820899193RR0001	Canadian Aweil Youth Association	Registered	Charity	2017-04-10		0001	Advancement of Education	0011	65 HANSON AVE 	KITCHENER	ON	CA	N2C2H6
816747216RR0001	THE REDEEMED CHRISTIAN CHURCH OF GOD - KINGDOM STARS ASSEMBLY INC.	Registered	Charity	2012-08-29		0001	Advancement of Religion	0030	530 BRIDGEMILL CRES 	KITCHENER	ON	CA	N2A0C8
816666556RR0001	Mohra Sharif Islamic Centre	Registered	Charity	2016-06-06		0003	Advancement of Religion	0040	D1 - 31 OPRINGTON DR 	KITCHENER	ON	CA	N2N3G3
815294046RR0001	Sirimangalo International Buddhist Meditation Society Inc.	Registered	Charity	2016-09-02		0001	Advancement of Religion	0060	41 LANG CRES 	KITCHENER	ON	CA	N2K1P2
813963675RR0001	GLA Theatre Company	Registered	Charity	2006-03-01		0001	Advancement of Education	0012	36 KING ST W 	KITCHENER	ON	CA	N2G1A3
813291341RR0001	STIRLING AVENUE MENNONITE CHURCH	Registered	Charity	1967-01-01		0001	Advancement of Religion	0030	57 STIRLING AVE. N. 	KITCHENER	ON	CA	N2H3G4
813183696RR0001	True North Aid	Registered	Charity	2012-04-03		0001	Relief of Poverty	0001	PO BOX 37023 RPO STANLEY PARK 	KITCHENER	ON	CA	N2A4A7
811619675RR0001	ST. MATTHEWS (KITCHENER) LUTHERAN CHURCH	Registered	Charity	1967-01-01		0001	Advancement of Religion	0030	54 BENTON ST 	KITCHENER	ON	CA	N2G3H2
126774579RR0001	K-W ACCESS-ABILITY	Registered	Charity	1973-05-08		0001	Relief of Poverty	0001	250-659 KING ST E 	KITCHENER	ON	CA	N2G2M4
119221703RR0001	THE CENTRE IN THE SQUARE INC	Registered	Charity	1981-11-16		0001	Other purposes beneficial to the community	0190	101 QUEEN ST N 	KITCHENER	ON	CA	N2H6P7
119220374RR0001	THE CARMEL CHURCH OF THE NEW JERUSALEM	Registered	Charity	1967-01-01		0001	Advancement of Religion	0030	40 CHAPEL HILL DR 	KITCHENER	ON	CA	N2R1N2
119203024RR0002	ST THOMAS	Registered	Charity	1967-01-01		0001	Advancement of Religion	0030	36 - 146 TRAFALGAR AVE 	KITCHENER	ON	CA	N2A0E2
